## Which items can roll which Awoken enchantment.
##
## Generated by tools/fetch-awoken.js from the "Awakened Enchantments" table at
## https://www.realmeye.com/wiki/enchanting
##
## The Qt program's own awakenedItems.txt names ten of its entries after a
## group rather than an item -- "AoO Rings", "Matrix Armors", "Tomb Rings" --
## and the interface looks items up by their own name, so every real item
## behind one of those was offered nothing. This file names them.
##
## Merged with awakenedItems.txt rather than replacing it: pairs the Qt data
## knows and the page does not are kept.
##
## Format: Item|Enchantment

Acidic Slasher|Acid Guardian
Aegis Armor|Night's Tenacity
Amaterasu|Night's Wisdom
Ancient Stone Sword|Stone Guardian
Arcane Rapier|Spellsword Mastery
Arctic Bow|Coral Volley
Ashen Talon|Buzzing Bullets
Autarch Amulet|Night's Soul
Berserker's Breastplate|Infernal Anger
Blacklight Artifice|Night's Wisdom
Blade of the Assailant|Night's Strength
Blitz Sheath|Night's Wisdom
Blue Beehemoth Armor|Living Hive
Bone Dagger|Bone Claws
Bounty Hunter's Dagger|Night's Strength
Bow of the Morning Star|Soulful Mastery
Bramble Bow|Thornswarm
Brutal Buckler|Night's Wisdom
Chief's War Horn|Night's Wisdom
Chocsicle|Molecular Blade
Cloak of the Darkened Sun|Night's Wisdom
Conducting Wand|High Voltage
Coral Bow|Coral Volley
Corruption Cutter|Corrupting Scourge
Corsair Ring|The King's Treasure
Crystal Bone Ring|El Dorado's Legacy
Crystal Sword|Fractured Blade
Crystal Wand|Crystal Shards
Cursed Spire Spell|Night's Wisdom
Demon Blade|Hellfire Edge
Demon Lord's Skull|Night's Wisdom
Doku No Ken|Apitoxin
Doom Bow|Soulful Mastery
Dueling Daggers|Bubbling Scourge
Enchanted Ice Blade|Fractured Blade
Enchanted Ice Shard|Ancient's Blessing
Fire Dragon Battle Armor|Drake Warden
Fitted Protective Matrix|Foraxian Matrix Enhancement
Fitted Protective Matrix|Katalonian Matrix Enhancement
Fitted Protective Matrix|Malogian Matrix Enhancement
Fitted Protective Matrix|Untarian Matrix Enhancement
Frimarra|Ancient's Blessing
Frozen Wand|Crystal Shards
Green Beehemoth Armor|Living Hive
Hawkmaster Sigil|Night's Wisdom
Heartstruck Bow|Swarm Tree's Wrath
Heavy Protective Matrix|Foraxian Matrix Enhancement
Heavy Protective Matrix|Katalonian Matrix Enhancement
Heavy Protective Matrix|Malogian Matrix Enhancement
Heavy Protective Matrix|Untarian Matrix Enhancement
Helm of Exalted Might|Night's Wisdom
Henchman's Claymore|Night's Strength
Judge's Robe|Night's Tenacity
Leaf Bow|Swarm Tree's Wrath
Leaf Dragon Hide Armor|Drake Warden
Legion Elite Bow|Night's Strength
Legion Elite Cloak|Night's Wisdom
Legion Elite Dagger|Night's Strength
Legion Elite Drums|Night's Wisdom
Legion Elite Helm|Night's Wisdom
Legion Elite Katana|Night's Strength
Legion Elite Leather Armor|Night's Tenacity
Legion Elite Mace|Night's Wisdom
Legion Elite Orb|Night's Wisdom
Legion Elite Plate Armor|Night's Tenacity
Legion Elite Poison|Night's Wisdom
Legion Elite Prism|Night's Wisdom
Legion Elite Quiver|Night's Wisdom
Legion Elite Robe|Night's Tenacity
Legion Elite Scepter|Night's Wisdom
Legion Elite Seal|Night's Wisdom
Legion Elite Sheath|Night's Wisdom
Legion Elite Shield|Night's Wisdom
Legion Elite Sigil|Night's Wisdom
Legion Elite Skull|Night's Wisdom
Legion Elite Spell|Night's Wisdom
Legion Elite Staff|Night's Strength
Legion Elite Star|Night's Wisdom
Legion Elite Sword|Night's Strength
Legion Elite Tome|Night's Wisdom
Legion Elite Trap|Night's Wisdom
Legion Elite Wakizashi|Night's Wisdom
Legion Elite Wand|Night's Strength
Mad Javelin|Night's Wisdom
Magic Protective Matrix|Foraxian Matrix Enhancement
Magic Protective Matrix|Katalonian Matrix Enhancement
Magic Protective Matrix|Malogian Matrix Enhancement
Magic Protective Matrix|Untarian Matrix Enhancement
Mayhem Medallion|Night's Soul
Mechanical Mace|Night's Wisdom
Neo Acidic Slasher|Acid Guardian (Neo)
Neo Dueling Daggers|Bubbling Scourge
Neo Fitted Protective Matrix|Foraxian Matrix Enhancement
Neo Fitted Protective Matrix|Katalonian Matrix Enhancement
Neo Fitted Protective Matrix|Malogian Matrix Enhancement
Neo Fitted Protective Matrix|Untarian Matrix Enhancement
Neo Heavy Protective Matrix|Foraxian Matrix Enhancement
Neo Heavy Protective Matrix|Katalonian Matrix Enhancement
Neo Heavy Protective Matrix|Malogian Matrix Enhancement
Neo Heavy Protective Matrix|Untarian Matrix Enhancement
Neo Magic Protective Matrix|Foraxian Matrix Enhancement
Neo Magic Protective Matrix|Katalonian Matrix Enhancement
Neo Magic Protective Matrix|Malogian Matrix Enhancement
Neo Magic Protective Matrix|Untarian Matrix Enhancement
Neo Sun's Judgement|Solar Mastery (Neo)
Neo Warlord Wand|Stinger Shards
Nightmatter Circlet|Night's Soul
Oppressor's Staff|Night's Strength
Orb of Conquest|Night's Wisdom
Overclocking Amulet|Kogbold Spirit
Pirate King's Cutlass|Molecular Blade
Poison Fang Dagger|Venom Coating
Predator Bow|Night's Strength
Prism of Shattered Light|Night's Wisdom
Queen's Stinger|Buzzing Bullets
Rage Claws|Night's Wisdom
Red Beehemoth Armor|Living Hive
Ring of Skeletal Specters|Necrotic Knowledge
Ring of the Nile|Ancient's Blessing
Ring of the Northern Light|Ancient's Blessing
Ring of the Pyramid|Ancient's Blessing
Ring of the Sphinx|Ancient's Blessing
Ring of Wrath|Night's Soul
Robe of the Tlatoani|Masked God's Dance
Rusted Mechanism|Kogbold Spirit
S.T.A.F.F.|N.O.V.A.
Seal of the Battle God|Night's Wisdom
Siege Scepter|Night's Wisdom
Snake Eye Ring|Draconic Gaze
Snakeskin Armor|Ancient Artifacts
Spider's Eye Ring|Eye of the Spider
Squadron Sheathing|Night's Tenacity
Staff of Extreme Prejudice|Artificial Core
Staff of Iceblast|Artificial Core
Staff of the Crystal Serpent|Crystalline Channel
Sun's Judgement|Solar Mastery
Sword of Illumination|Hellfire Edge
Tectonus|Swarm Tree's Wrath
The Right Hook|Bar Brawler
Tlatoani's Shroud|Raijin's Dance
Tome of the Tarnished Gods|Night's Wisdom
Tyrant's Toxin|Night's Wisdom
Tyrant's Wand|Night's Strength
Void Blade|Consuming Void
Wand of Hidden Knowledge|Cursebearer
Warlord Wand|Stinger Shards
Water Dragon Silk Robe|Drake Warden
Yellow Beehemoth Armor|Living Hive
