## DECA's published weights, tier splits, labels and incompatibilities,
## for every enchantment this program also holds.
##
## Source: the "Equipment Rarity Public List" spreadsheet, read as CSV.
##   https://docs.google.com/spreadsheets/d/1lZRkY3kr0IFD6vKqfMqF56LlSy7rtNzf-w2JxBVAs9k
##
## Refresh with: node tools/fetch-deca.js --freeze
## The test suite compares against this copy, so it needs no network.
##
## A tiered enchantment is four rows in the sheet and one record here; the
## weight below is the sum of its tiers and the split their proportions.
##
## Format: Name|Weight|TierSplit|Labels|IncompatibleLabels

Ancient Artifacts|7500||AWAKENED,DEFENSE,DEXTERITY,DUALSTAT,ROLLABLE,SPEED,SUMMON|AWAKENED,DUALSTAT,SUMMON
Ancient's Blessing|7500||AWAKENED,DUALSTAT,FLATBONUS,ROLLABLE,STAT|AWAKENED,DUALSTAT
Apitoxin|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Arcane Battery|1500||ABILITY,FLATBONUS,MANA,ROLLABLE,SINGLESTAT,STAT,UNIQUE|SINGLESTAT,UNIQUE
Artificial Core|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Ascension of Bes|1500||ARMOR,DUALSTAT,FLATBONUS,ROLLABLE,STAT,UNIQUE|DUALSTAT,UNIQUE
Ascension of Geb|1500||DUALSTAT,FLATBONUS,ROLLABLE,STAT,UNIQUE,WEAPON|DUALSTAT,UNIQUE
Ascension of Nut|1500||ABILITY,DUALSTAT,FLATBONUS,ROLLABLE,STAT,UNIQUE|DUALSTAT,UNIQUE
Attack -Defense Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DEFENSE,DUALSTAT,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Attack -Dexterity Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DEXTERITY,DUALSTAT,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Attack -Life Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Attack -Mana Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Attack -Speed Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
Attack -Vitality Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,ROLLABLE,STAT,TRADEOFF,VITALITY|DUALSTAT
Attack -Wisdom Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,ROLLABLE,STAT,TRADEOFF,WISDOM|DUALSTAT
Attack Bonus|100000|0.35000 0.30000 0.20000 0.15000|ATTACK,FLATBONUS,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Attack and Defense Bonus|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,DEFENSE,DUALSTAT,FLATBONUS,ROLLABLE,STAT|DUALSTAT
Attack and Dexterity Bonus|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,DEXTERITY,DUALSTAT,FLATBONUS,ROLLABLE,STAT|DUALSTAT
Attack and Life Bonus|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,FLATBONUS,LIFE,ROLLABLE,STAT|DUALSTAT
Attack and Mana Bonus|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,FLATBONUS,MANA,ROLLABLE,STAT|DUALSTAT
Attack and Speed Bonus|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,FLATBONUS,ROLLABLE,SPEED,STAT|DUALSTAT
Attack and Vitality Bonus|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,FLATBONUS,ROLLABLE,STAT,VITALITY|DUALSTAT
Attack and Wisdom Bonus|50000|0.35000 0.30000 0.20000 0.15000|ATTACK,DUALSTAT,FLATBONUS,ROLLABLE,STAT,WISDOM|DUALSTAT
Attack to Defense Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEFENSE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Attack to Dexterity Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,DEXTERITY,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Attack to Life Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,LIFE,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Attack to Mana Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,MANA,ROLLABLE,SINGLESTAT,STAT|SINGLESTAT
Attack to Speed Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,SPEED,STAT|SINGLESTAT
Attack to Vitality Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,VITALITY|SINGLESTAT
Attack to Wisdom Bonus|12000|0.36458 0.31250 0.20833 0.11458|CONVERSIONBONUS,ROLLABLE,SINGLESTAT,STAT,WISDOM|SINGLESTAT
Augment: Overdrive|1500||DAMAGE,DEFENSE,ROLLABLE,SINGLESTAT,STAT,TRADEOFF,UNIQUE,WEAPON,WEAPONFIRERATE|SINGLESTAT,UNIQUE,WEAPONDAMAGE,WEAPONFIRERATE
Augment: Overload|1500||DAMAGE,LIFE,ROLLABLE,SINGLESTAT,STAT,TRADEOFF,UNIQUE,WEAPON,WEAPONDAMAGE|SINGLESTAT,UNIQUE,WEAPONDAMAGE,WEAPONFIRERATE
Avalon's Intellect|2000||FLATBONUS,ROLLABLE,SINGLESTAT,STAT,UNIQUE,WISDOM|SINGLESTAT,UNIQUE
Bone Claws|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Buzzing Bullets|7500||AWAKENED,ROLLABLE,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Candy-Coated|1500||ARMOR,DEFENSE,DUALSTAT,FLATBONUS,ROLLABLE,STAT,TRADEOFF,UNIQUE|DUALSTAT,UNIQUE
Crystal Shards|7500||AWAKENED,ROLLABLE,SUMMON,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE|AWAKENED,SUMMON,WEAPONDAMAGE,WEAPONFIRERATE,WEAPONRANGE
Crystalline Channel|7500||AWAKENED,CONVERSIONBONUS,DUALSTAT,ROLLABLE|AWAKENED,DUALSTAT
Crystalline Vigor|2000||FLATBONUS,ROLLABLE,SINGLESTAT,STAT,UNIQUE,VITALITY|SINGLESTAT,UNIQUE
Damage -Fire rate Tradeoff|100000|0.35000 0.30000 0.20000 0.15000|DAMAGE,ROLLABLE,TRADEOFF,WEAPON,WEAPONDAMAGE|WEAPONDAMAGE,WEAPONFIRERATE
Damage Bonus|200000|0.35000 0.30000 0.20000 0.15000|DAMAGE,ROLLABLE,WEAPON,WEAPONDAMAGE|WEAPONDAMAGE,WEAPONFIRERATE
Damage Resistance|200000|0.35000 0.30000 0.20000 0.15000|ARMOR,DAMAGERESISTANCE,DURABILITY|DAMAGERESISTANCE
Defense -Attack Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|ATTACK,DEFENSE,DUALSTAT,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Defense -Dexterity Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DEXTERITY,DUALSTAT,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Defense -Life Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,LIFE,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Defense -Mana Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,MANA,ROLLABLE,STAT,TRADEOFF|DUALSTAT
Defense -Speed Tradeoff|12500|0.35000 0.30000 0.20000 0.15000|DEFENSE,DUALSTAT,ROLLABLE,SPEED,STAT,TRADEOFF|DUALSTAT
